"id_rec","file","group","hour","wave","wavename","perc","num","mean"
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",1,1,"non probing",9.12222222222221,6,1.52037037037037
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",1,2,"pathway",86.3477777777778,6,14.3912962962963
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",1,4,"salivation phloem",4.53,1,4.53
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",1,6,"penetration difficulties",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",1,5,"phloem feeding",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",1,7,"xylem ingestion",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",1,3,"3",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",1,55,"55",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",2,1,"non probing",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",2,2,"pathway",12.6344444444445,2,6.31722222222223
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",2,4,"salivation phloem",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",2,6,"penetration difficulties",7.61611111111111,2,3.80805555555555
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",2,5,"phloem feeding",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",2,7,"xylem ingestion",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",2,3,"3",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr",2,55,"55",0,0,NA
